16 7
0
0 6 
0 0 0
0 1 4
0 2 3
0 3 7
0 4 12
0 5 7
0 6 9
1 0 5
1 1 0
1 2 4
1 3 15
1 4 15
1 5 15
1 6 15
2 0 3
2 1 3
2 2 3
2 3 15
2 4 15
2 5 15
2 6 15
3 0 1
3 1 2
3 2 4
3 3 15
3 4 15
3 5 15
3 6 15
4 0 0
4 1 3
4 2 2
4 3 15
4 4 15
4 5 15
4 6 15
5 0 4
5 1 1
5 2 2
5 3 15
5 4 15
5 5 15
5 6 15
6 0 15
6 1 15
6 2 15
6 3 7
6 4 12
6 5 7
6 6 9
7 0 15
7 1 15
7 2 15
7 3 11
7 4 13
7 5 8
7 6 11
8 0 15
8 1 15
8 2 15
8 3 7
8 4 12
8 5 13
8 6 8
9 0 15
9 1 15
9 2 15
9 3 7
9 4 8
9 5 14
9 6 10
10 0 15
10 1 15
10 2 15
10 3 11
10 4 13
10 5 10
10 6 12
11 0 15
11 1 15
11 2 15
11 3 12
11 4 9
11 5 13
11 6 9
12 0 15
12 1 15
12 2 15
12 3 14
12 4 7
12 5 7
12 6 9
13 0 15
13 1 15
13 2 15
13 3 11
13 4 10
13 5 8
13 6 6
14 0 15
14 1 15
14 2 15
14 3 6
14 4 9
14 5 13
14 6 6
15 0 15
15 1 15
15 2 15
15 3 15
15 4 15
15 5 15
15 6 15
