14 6
0
0 3 
0 0 2
0 1 1
0 2 7
0 3 4
0 4 6
0 5 10
1 0 0
1 1 2
1 2 13
1 3 13
1 4 13
1 5 13
2 0 1
2 1 0
2 2 13
2 3 13
2 4 13
2 5 13
3 0 13
3 1 13
3 2 7
3 3 4
3 4 6
3 5 10
4 0 13
4 1 13
4 2 8
4 3 11
4 4 5
4 5 9
5 0 13
5 1 13
5 2 6
5 3 10
5 4 4
5 5 9
6 0 13
6 1 13
6 2 5
6 3 4
6 4 7
6 5 10
7 0 13
7 1 13
7 2 5
7 3 7
7 4 6
7 5 12
8 0 13
8 1 13
8 2 3
8 3 12
8 4 9
8 5 7
9 0 13
9 1 13
9 2 8
9 3 10
9 4 8
9 5 12
10 0 13
10 1 13
10 2 4
10 3 5
10 4 7
10 5 12
11 0 13
11 1 13
11 2 8
11 3 9
11 4 4
11 5 11
12 0 13
12 1 13
12 2 4
12 3 8
12 4 7
12 5 3
13 0 13
13 1 13
13 2 13
13 3 13
13 4 13
13 5 13
