24 10
0
0 11 
0 0 6
0 1 7
0 2 2
0 3 3
0 4 7
0 5 16
0 6 17
0 7 12
0 8 12
0 9 12
1 0 10
1 1 7
1 2 8
1 3 6
1 4 7
1 5 23
1 6 23
1 7 23
1 8 23
1 9 23
2 0 3
2 1 0
2 2 6
2 3 2
2 4 3
2 5 23
2 6 23
2 7 23
2 8 23
2 9 23
3 0 0
3 1 7
3 2 5
3 3 0
3 4 2
3 5 23
3 6 23
3 7 23
3 8 23
3 9 23
4 0 10
4 1 1
4 2 1
4 3 3
4 4 4
4 5 23
4 6 23
4 7 23
4 8 23
4 9 23
5 0 1
5 1 7
5 2 8
5 3 2
5 4 5
5 5 23
5 6 23
5 7 23
5 8 23
5 9 23
6 0 0
6 1 10
6 2 9
6 3 4
6 4 1
6 5 23
6 6 23
6 7 23
6 8 23
6 9 23
7 0 8
7 1 6
7 2 6
7 3 7
7 4 1
7 5 23
7 6 23
7 7 23
7 8 23
7 9 23
8 0 10
8 1 6
8 2 1
8 3 2
8 4 6
8 5 23
8 6 23
8 7 23
8 8 23
8 9 23
9 0 3
9 1 8
9 2 5
9 3 3
9 4 2
9 5 23
9 6 23
9 7 23
9 8 23
9 9 23
10 0 2
10 1 0
10 2 2
10 3 7
10 4 10
10 5 23
10 6 23
10 7 23
10 8 23
10 9 23
11 0 23
11 1 23
11 2 23
11 3 23
11 4 23
11 5 16
11 6 17
11 7 12
11 8 12
11 9 12
12 0 23
12 1 23
12 2 23
12 3 23
12 4 23
12 5 13
12 6 21
12 7 21
12 8 20
12 9 13
13 0 23
13 1 23
13 2 23
13 3 23
13 4 23
13 5 19
13 6 12
13 7 22
13 8 11
13 9 16
14 0 23
14 1 23
14 2 23
14 3 23
14 4 23
14 5 13
14 6 12
14 7 12
14 8 14
14 9 13
15 0 23
15 1 23
15 2 23
15 3 23
15 4 23
15 5 11
15 6 11
15 7 16
15 8 21
15 9 18
16 0 23
16 1 23
16 2 23
16 3 23
16 4 23
16 5 21
16 6 18
16 7 13
16 8 12
16 9 14
17 0 23
17 1 23
17 2 23
17 3 23
17 4 23
17 5 14
17 6 20
17 7 21
17 8 13
17 9 15
18 0 23
18 1 23
18 2 23
18 3 23
18 4 23
18 5 13
18 6 14
18 7 15
18 8 17
18 9 12
19 0 23
19 1 23
19 2 23
19 3 23
19 4 23
19 5 20
19 6 15
19 7 17
19 8 11
19 9 12
20 0 23
20 1 23
20 2 23
20 3 23
20 4 23
20 5 21
20 6 20
20 7 12
20 8 13
20 9 14
21 0 23
21 1 23
21 2 23
21 3 23
21 4 23
21 5 11
21 6 20
21 7 18
21 8 15
21 9 19
22 0 23
22 1 23
22 2 23
22 3 23
22 4 23
22 5 19
22 6 14
22 7 21
22 8 17
22 9 12
23 0 23
23 1 23
23 2 23
23 3 23
23 4 23
23 5 23
23 6 23
23 7 23
23 8 23
23 9 23
