17 8
0
0 11 
0 0 2
0 1 9
0 2 0
0 3 2
0 4 9
0 5 15
0 6 12
0 7 12
1 0 10
1 1 2
1 2 4
1 3 8
1 4 4
1 5 16
1 6 16
1 7 16
2 0 7
2 1 4
2 2 6
2 3 8
2 4 1
2 5 16
2 6 16
2 7 16
3 0 0
3 1 8
3 2 3
3 3 7
3 4 10
3 5 16
3 6 16
3 7 16
4 0 6
4 1 7
4 2 6
4 3 5
4 4 3
4 5 16
4 6 16
4 7 16
5 0 6
5 1 4
5 2 8
5 3 8
5 4 9
5 5 16
5 6 16
5 7 16
6 0 3
6 1 10
6 2 3
6 3 9
6 4 9
6 5 16
6 6 16
6 7 16
7 0 3
7 1 8
7 2 7
7 3 0
7 4 2
7 5 16
7 6 16
7 7 16
8 0 5
8 1 8
8 2 7
8 3 8
8 4 5
8 5 16
8 6 16
8 7 16
9 0 0
9 1 0
9 2 8
9 3 1
9 4 0
9 5 16
9 6 16
9 7 16
10 0 3
10 1 4
10 2 9
10 3 5
10 4 1
10 5 16
10 6 16
10 7 16
11 0 16
11 1 16
11 2 16
11 3 16
11 4 16
11 5 15
11 6 12
11 7 12
12 0 16
12 1 16
12 2 16
12 3 16
12 4 16
12 5 11
12 6 15
12 7 14
13 0 16
13 1 16
13 2 16
13 3 16
13 4 16
13 5 11
13 6 13
13 7 12
14 0 16
14 1 16
14 2 16
14 3 16
14 4 16
14 5 13
14 6 13
14 7 13
15 0 16
15 1 16
15 2 16
15 3 16
15 4 16
15 5 14
15 6 12
15 7 15
16 0 16
16 1 16
16 2 16
16 3 16
16 4 16
16 5 16
16 6 16
16 7 16
