19 8
0
0 9 
0 0 1
0 1 8
0 2 5
0 3 2
0 4 9
0 5 10
0 6 16
0 7 15
1 0 1
1 1 0
1 2 4
1 3 4
1 4 18
1 5 18
1 6 18
1 7 18
2 0 7
2 1 4
2 2 4
2 3 1
2 4 18
2 5 18
2 6 18
2 7 18
3 0 1
3 1 1
3 2 5
3 3 1
3 4 18
3 5 18
3 6 18
3 7 18
4 0 0
4 1 8
4 2 2
4 3 2
4 4 18
4 5 18
4 6 18
4 7 18
5 0 3
5 1 6
5 2 6
5 3 7
5 4 18
5 5 18
5 6 18
5 7 18
6 0 0
6 1 6
6 2 6
6 3 7
6 4 18
6 5 18
6 6 18
6 7 18
7 0 7
7 1 8
7 2 6
7 3 3
7 4 18
7 5 18
7 6 18
7 7 18
8 0 0
8 1 5
8 2 4
8 3 2
8 4 18
8 5 18
8 6 18
8 7 18
9 0 18
9 1 18
9 2 18
9 3 18
9 4 9
9 5 10
9 6 16
9 7 15
10 0 18
10 1 18
10 2 18
10 3 18
10 4 17
10 5 14
10 6 14
10 7 17
11 0 18
11 1 18
11 2 18
11 3 18
11 4 10
11 5 17
11 6 12
11 7 10
12 0 18
12 1 18
12 2 18
12 3 18
12 4 15
12 5 13
12 6 13
12 7 13
13 0 18
13 1 18
13 2 18
13 3 18
13 4 10
13 5 14
13 6 16
13 7 16
14 0 18
14 1 18
14 2 18
14 3 18
14 4 9
14 5 17
14 6 12
14 7 12
15 0 18
15 1 18
15 2 18
15 3 18
15 4 12
15 5 10
15 6 11
15 7 13
16 0 18
16 1 18
16 2 18
16 3 18
16 4 12
16 5 13
16 6 15
16 7 11
17 0 18
17 1 18
17 2 18
17 3 18
17 4 12
17 5 15
17 6 9
17 7 10
18 0 18
18 1 18
18 2 18
18 3 18
18 4 18
18 5 18
18 6 18
18 7 18
