17 7
0
0 7 
0 0 3
0 1 0
0 2 3
0 3 9
0 4 7
0 5 11
0 6 9
1 0 5
1 1 0
1 2 2
1 3 16
1 4 16
1 5 16
1 6 16
2 0 6
2 1 5
2 2 4
2 3 16
2 4 16
2 5 16
2 6 16
3 0 0
3 1 2
3 2 5
3 3 16
3 4 16
3 5 16
3 6 16
4 0 6
4 1 3
4 2 4
4 3 16
4 4 16
4 5 16
4 6 16
5 0 2
5 1 5
5 2 1
5 3 16
5 4 16
5 5 16
5 6 16
6 0 0
6 1 6
6 2 0
6 3 16
6 4 16
6 5 16
6 6 16
7 0 16
7 1 16
7 2 16
7 3 9
7 4 7
7 5 11
7 6 9
8 0 16
8 1 16
8 2 16
8 3 7
8 4 15
8 5 15
8 6 9
9 0 16
9 1 16
9 2 16
9 3 8
9 4 11
9 5 15
9 6 13
10 0 16
10 1 16
10 2 16
10 3 7
10 4 13
10 5 12
10 6 8
11 0 16
11 1 16
11 2 16
11 3 15
11 4 9
11 5 15
11 6 10
12 0 16
12 1 16
12 2 16
12 3 13
12 4 8
12 5 8
12 6 12
13 0 16
13 1 16
13 2 16
13 3 9
13 4 9
13 5 7
13 6 8
14 0 16
14 1 16
14 2 16
14 3 15
14 4 9
14 5 12
14 6 8
15 0 16
15 1 16
15 2 16
15 3 13
15 4 10
15 5 14
15 6 12
16 0 16
16 1 16
16 2 16
16 3 16
16 4 16
16 5 16
16 6 16
