16 8
0
0 5 
0 0 3
0 1 2
0 2 4
0 3 12
0 4 14
0 5 12
0 6 5
0 7 14
1 0 4
1 1 1
1 2 3
1 3 15
1 4 15
1 5 15
1 6 15
1 7 15
2 0 0
2 1 0
2 2 1
2 3 15
2 4 15
2 5 15
2 6 15
2 7 15
3 0 2
3 1 2
3 2 2
3 3 15
3 4 15
3 5 15
3 6 15
3 7 15
4 0 2
4 1 1
4 2 3
4 3 15
4 4 15
4 5 15
4 6 15
4 7 15
5 0 15
5 1 15
5 2 15
5 3 12
5 4 14
5 5 12
5 6 5
5 7 14
6 0 15
6 1 15
6 2 15
6 3 8
6 4 13
6 5 8
6 6 10
6 7 12
7 0 15
7 1 15
7 2 15
7 3 5
7 4 10
7 5 9
7 6 8
7 7 14
8 0 15
8 1 15
8 2 15
8 3 13
8 4 11
8 5 5
8 6 10
8 7 8
9 0 15
9 1 15
9 2 15
9 3 5
9 4 9
9 5 14
9 6 14
9 7 7
10 0 15
10 1 15
10 2 15
10 3 14
10 4 11
10 5 9
10 6 9
10 7 10
11 0 15
11 1 15
11 2 15
11 3 9
11 4 10
11 5 11
11 6 6
11 7 14
12 0 15
12 1 15
12 2 15
12 3 11
12 4 13
12 5 10
12 6 14
12 7 7
13 0 15
13 1 15
13 2 15
13 3 8
13 4 9
13 5 9
13 6 6
13 7 13
14 0 15
14 1 15
14 2 15
14 3 6
14 4 7
14 5 7
14 6 11
14 7 7
15 0 15
15 1 15
15 2 15
15 3 15
15 4 15
15 5 15
15 6 15
15 7 15
