23 10
0
0 11 
0 0 6
0 1 9
0 2 9
0 3 5
0 4 7
0 5 16
0 6 20
0 7 15
0 8 15
0 9 17
1 0 5
1 1 0
1 2 2
1 3 6
1 4 0
1 5 22
1 6 22
1 7 22
1 8 22
1 9 22
2 0 0
2 1 9
2 2 9
2 3 3
2 4 10
2 5 22
2 6 22
2 7 22
2 8 22
2 9 22
3 0 0
3 1 6
3 2 7
3 3 4
3 4 9
3 5 22
3 6 22
3 7 22
3 8 22
3 9 22
4 0 1
4 1 5
4 2 9
4 3 10
4 4 3
4 5 22
4 6 22
4 7 22
4 8 22
4 9 22
5 0 8
5 1 1
5 2 3
5 3 10
5 4 4
5 5 22
5 6 22
5 7 22
5 8 22
5 9 22
6 0 4
6 1 3
6 2 6
6 3 6
6 4 7
6 5 22
6 6 22
6 7 22
6 8 22
6 9 22
7 0 0
7 1 5
7 2 2
7 3 4
7 4 8
7 5 22
7 6 22
7 7 22
7 8 22
7 9 22
8 0 4
8 1 3
8 2 9
8 3 0
8 4 7
8 5 22
8 6 22
8 7 22
8 8 22
8 9 22
9 0 7
9 1 10
9 2 3
9 3 5
9 4 7
9 5 22
9 6 22
9 7 22
9 8 22
9 9 22
10 0 3
10 1 9
10 2 0
10 3 0
10 4 1
10 5 22
10 6 22
10 7 22
10 8 22
10 9 22
11 0 22
11 1 22
11 2 22
11 3 22
11 4 22
11 5 16
11 6 20
11 7 15
11 8 15
11 9 17
12 0 22
12 1 22
12 2 22
12 3 22
12 4 22
12 5 18
12 6 14
12 7 21
12 8 15
12 9 13
13 0 22
13 1 22
13 2 22
13 3 22
13 4 22
13 5 12
13 6 18
13 7 17
13 8 14
13 9 16
14 0 22
14 1 22
14 2 22
14 3 22
14 4 22
14 5 11
14 6 11
14 7 17
14 8 11
14 9 12
15 0 22
15 1 22
15 2 22
15 3 22
15 4 22
15 5 17
15 6 13
15 7 19
15 8 17
15 9 20
16 0 22
16 1 22
16 2 22
16 3 22
16 4 22
16 5 20
16 6 17
16 7 13
16 8 18
16 9 19
17 0 22
17 1 22
17 2 22
17 3 22
17 4 22
17 5 17
17 6 17
17 7 12
17 8 16
17 9 16
18 0 22
18 1 22
18 2 22
18 3 22
18 4 22
18 5 14
18 6 12
18 7 14
18 8 13
18 9 15
19 0 22
19 1 22
19 2 22
19 3 22
19 4 22
19 5 17
19 6 17
19 7 11
19 8 19
19 9 20
20 0 22
20 1 22
20 2 22
20 3 22
20 4 22
20 5 11
20 6 18
20 7 18
20 8 18
20 9 17
21 0 22
21 1 22
21 2 22
21 3 22
21 4 22
21 5 14
21 6 14
21 7 13
21 8 18
21 9 14
22 0 22
22 1 22
22 2 22
22 3 22
22 4 22
22 5 22
22 6 22
22 7 22
22 8 22
22 9 22
