14 6
0
0 7 
0 0 4
0 1 5
0 2 5
0 3 8
0 4 11
0 5 10
1 0 2
1 1 4
1 2 4
1 3 13
1 4 13
1 5 13
2 0 3
2 1 0
2 2 2
2 3 13
2 4 13
2 5 13
3 0 0
3 1 1
3 2 4
3 3 13
3 4 13
3 5 13
4 0 6
4 1 5
4 2 3
4 3 13
4 4 13
4 5 13
5 0 3
5 1 1
5 2 4
5 3 13
5 4 13
5 5 13
6 0 3
6 1 5
6 2 1
6 3 13
6 4 13
6 5 13
7 0 13
7 1 13
7 2 13
7 3 8
7 4 11
7 5 10
8 0 13
8 1 13
8 2 13
8 3 7
8 4 9
8 5 9
9 0 13
9 1 13
9 2 13
9 3 12
9 4 8
9 5 9
10 0 13
10 1 13
10 2 13
10 3 9
10 4 12
10 5 11
11 0 13
11 1 13
11 2 13
11 3 8
11 4 7
11 5 12
12 0 13
12 1 13
12 2 13
12 3 8
12 4 8
12 5 11
13 0 13
13 1 13
13 2 13
13 3 13
13 4 13
13 5 13
