14 7
0
0 3 
0 0 2
0 1 2
0 2 9
0 3 3
0 4 3
0 5 12
0 6 8
1 0 0
1 1 1
1 2 13
1 3 13
1 4 13
1 5 13
1 6 13
2 0 1
2 1 0
2 2 13
2 3 13
2 4 13
2 5 13
2 6 13
3 0 13
3 1 13
3 2 9
3 3 3
3 4 3
3 5 12
3 6 8
4 0 13
4 1 13
4 2 5
4 3 9
4 4 9
4 5 8
4 6 9
5 0 13
5 1 13
5 2 9
5 3 5
5 4 4
5 5 8
5 6 11
6 0 13
6 1 13
6 2 3
6 3 12
6 4 8
6 5 10
6 6 7
7 0 13
7 1 13
7 2 11
7 3 5
7 4 9
7 5 5
7 6 6
8 0 13
8 1 13
8 2 6
8 3 9
8 4 3
8 5 10
8 6 4
9 0 13
9 1 13
9 2 3
9 3 4
9 4 7
9 5 4
9 6 7
10 0 13
10 1 13
10 2 6
10 3 7
10 4 3
10 5 5
10 6 3
11 0 13
11 1 13
11 2 3
11 3 9
11 4 3
11 5 8
11 6 8
12 0 13
12 1 13
12 2 7
12 3 11
12 4 5
12 5 9
12 6 8
13 0 13
13 1 13
13 2 13
13 3 13
13 4 13
13 5 13
13 6 13
