16 7
0
0 8 
0 0 5
0 1 5
0 2 4
0 3 5
0 4 9
0 5 10
0 6 10
1 0 6
1 1 2
1 2 7
1 3 7
1 4 15
1 5 15
1 6 15
2 0 3
2 1 3
2 2 5
2 3 6
2 4 15
2 5 15
2 6 15
3 0 0
3 1 2
3 2 2
3 3 7
3 4 15
3 5 15
3 6 15
4 0 7
4 1 1
4 2 2
4 3 2
4 4 15
4 5 15
4 6 15
5 0 3
5 1 1
5 2 4
5 3 1
5 4 15
5 5 15
5 6 15
6 0 1
6 1 1
6 2 4
6 3 4
6 4 15
6 5 15
6 6 15
7 0 0
7 1 5
7 2 2
7 3 3
7 4 15
7 5 15
7 6 15
8 0 15
8 1 15
8 2 15
8 3 15
8 4 9
8 5 10
8 6 10
9 0 15
9 1 15
9 2 15
9 3 15
9 4 12
9 5 11
9 6 14
10 0 15
10 1 15
10 2 15
10 3 15
10 4 9
10 5 13
10 6 14
11 0 15
11 1 15
11 2 15
11 3 15
11 4 13
11 5 11
11 6 8
12 0 15
12 1 15
12 2 15
12 3 15
12 4 11
12 5 12
12 6 10
13 0 15
13 1 15
13 2 15
13 3 15
13 4 8
13 5 14
13 6 8
14 0 15
14 1 15
14 2 15
14 3 15
14 4 13
14 5 8
14 6 9
15 0 15
15 1 15
15 2 15
15 3 15
15 4 15
15 5 15
15 6 15
