21 9
0
0 11 
0 0 4
0 1 9
0 2 9
0 3 4
0 4 6
0 5 11
0 6 16
0 7 13
0 8 18
1 0 4
1 1 3
1 2 8
1 3 1
1 4 3
1 5 20
1 6 20
1 7 20
1 8 20
2 0 10
2 1 1
2 2 3
2 3 5
2 4 3
2 5 20
2 6 20
2 7 20
2 8 20
3 0 5
3 1 5
3 2 3
3 3 6
3 4 7
3 5 20
3 6 20
3 7 20
3 8 20
4 0 0
4 1 10
4 2 8
4 3 7
4 4 0
4 5 20
4 6 20
4 7 20
4 8 20
5 0 10
5 1 2
5 2 8
5 3 0
5 4 0
5 5 20
5 6 20
5 7 20
5 8 20
6 0 10
6 1 4
6 2 1
6 3 5
6 4 1
6 5 20
6 6 20
6 7 20
6 8 20
7 0 8
7 1 10
7 2 10
7 3 9
7 4 0
7 5 20
7 6 20
7 7 20
7 8 20
8 0 3
8 1 7
8 2 6
8 3 2
8 4 6
8 5 20
8 6 20
8 7 20
8 8 20
9 0 4
9 1 2
9 2 1
9 3 3
9 4 2
9 5 20
9 6 20
9 7 20
9 8 20
10 0 0
10 1 0
10 2 8
10 3 9
10 4 1
10 5 20
10 6 20
10 7 20
10 8 20
11 0 20
11 1 20
11 2 20
11 3 20
11 4 20
11 5 11
11 6 16
11 7 13
11 8 18
12 0 20
12 1 20
12 2 20
12 3 20
12 4 20
12 5 11
12 6 15
12 7 17
12 8 15
13 0 20
13 1 20
13 2 20
13 3 20
13 4 20
13 5 19
13 6 14
13 7 14
13 8 11
14 0 20
14 1 20
14 2 20
14 3 20
14 4 20
14 5 13
14 6 11
14 7 15
14 8 16
15 0 20
15 1 20
15 2 20
15 3 20
15 4 20
15 5 13
15 6 17
15 7 18
15 8 19
16 0 20
16 1 20
16 2 20
16 3 20
16 4 20
16 5 14
16 6 12
16 7 15
16 8 12
17 0 20
17 1 20
17 2 20
17 3 20
17 4 20
17 5 16
17 6 12
17 7 19
17 8 19
18 0 20
18 1 20
18 2 20
18 3 20
18 4 20
18 5 17
18 6 17
18 7 15
18 8 17
19 0 20
19 1 20
19 2 20
19 3 20
19 4 20
19 5 11
19 6 16
19 7 16
19 8 13
20 0 20
20 1 20
20 2 20
20 3 20
20 4 20
20 5 20
20 6 20
20 7 20
20 8 20
