13 6
0
0 9 
0 0 5
0 1 7
0 2 2
0 3 2
0 4 11
0 5 11
1 0 8
1 1 3
1 2 2
1 3 3
1 4 12
1 5 12
2 0 8
2 1 6
2 2 5
2 3 2
2 4 12
2 5 12
3 0 0
3 1 6
3 2 0
3 3 5
3 4 12
3 5 12
4 0 5
4 1 6
4 2 4
4 3 5
4 4 12
4 5 12
5 0 0
5 1 7
5 2 0
5 3 8
5 4 12
5 5 12
6 0 3
6 1 7
6 2 5
6 3 4
6 4 12
6 5 12
7 0 3
7 1 0
7 2 3
7 3 4
7 4 12
7 5 12
8 0 6
8 1 1
8 2 1
8 3 4
8 4 12
8 5 12
9 0 12
9 1 12
9 2 12
9 3 12
9 4 11
9 5 11
10 0 12
10 1 12
10 2 12
10 3 12
10 4 9
10 5 11
11 0 12
11 1 12
11 2 12
11 3 12
11 4 10
11 5 9
12 0 12
12 1 12
12 2 12
12 3 12
12 4 12
12 5 12
