14 7
0
0 10 
0 0 7
0 1 4
0 2 1
0 3 6
0 4 4
0 5 12
0 6 10
1 0 8
1 1 4
1 2 7
1 3 9
1 4 9
1 5 13
1 6 13
2 0 5
2 1 3
2 2 8
2 3 7
2 4 5
2 5 13
2 6 13
3 0 0
3 1 3
3 2 5
3 3 0
3 4 0
3 5 13
3 6 13
4 0 0
4 1 6
4 2 1
4 3 9
4 4 7
4 5 13
4 6 13
5 0 6
5 1 0
5 2 0
5 3 0
5 4 9
5 5 13
5 6 13
6 0 2
6 1 5
6 2 9
6 3 4
6 4 8
6 5 13
6 6 13
7 0 1
7 1 8
7 2 7
7 3 3
7 4 3
7 5 13
7 6 13
8 0 5
8 1 8
8 2 0
8 3 7
8 4 8
8 5 13
8 6 13
9 0 3
9 1 9
9 2 1
9 3 3
9 4 1
9 5 13
9 6 13
10 0 13
10 1 13
10 2 13
10 3 13
10 4 13
10 5 12
10 6 10
11 0 13
11 1 13
11 2 13
11 3 13
11 4 13
11 5 10
11 6 12
12 0 13
12 1 13
12 2 13
12 3 13
12 4 13
12 5 10
12 6 11
13 0 13
13 1 13
13 2 13
13 3 13
13 4 13
13 5 13
13 6 13
