17 7
0
0 7 
0 0 6
0 1 5
0 2 1
0 3 9
0 4 11
0 5 12
0 6 15
1 0 4
1 1 0
1 2 4
1 3 16
1 4 16
1 5 16
1 6 16
2 0 4
2 1 6
2 2 5
2 3 16
2 4 16
2 5 16
2 6 16
3 0 4
3 1 6
3 2 2
3 3 16
3 4 16
3 5 16
3 6 16
4 0 1
4 1 0
4 2 1
4 3 16
4 4 16
4 5 16
4 6 16
5 0 6
5 1 1
5 2 3
5 3 16
5 4 16
5 5 16
5 6 16
6 0 2
6 1 5
6 2 2
6 3 16
6 4 16
6 5 16
6 6 16
7 0 16
7 1 16
7 2 16
7 3 9
7 4 11
7 5 12
7 6 15
8 0 16
8 1 16
8 2 16
8 3 11
8 4 10
8 5 7
8 6 13
9 0 16
9 1 16
9 2 16
9 3 14
9 4 15
9 5 8
9 6 11
10 0 16
10 1 16
10 2 16
10 3 15
10 4 7
10 5 13
10 6 8
11 0 16
11 1 16
11 2 16
11 3 7
11 4 15
11 5 8
11 6 7
12 0 16
12 1 16
12 2 16
12 3 11
12 4 12
12 5 14
12 6 13
13 0 16
13 1 16
13 2 16
13 3 14
13 4 15
13 5 9
13 6 9
14 0 16
14 1 16
14 2 16
14 3 9
14 4 12
14 5 13
14 6 11
15 0 16
15 1 16
15 2 16
15 3 8
15 4 10
15 5 10
15 6 13
16 0 16
16 1 16
16 2 16
16 3 16
16 4 16
16 5 16
16 6 16
