16 7
0
0 12 
0 0 0
0 1 0
0 2 11
0 3 5
0 4 8
0 5 12
0 6 14
1 0 2
1 1 6
1 2 1
1 3 2
1 4 0
1 5 15
1 6 15
2 0 7
2 1 6
2 2 1
2 3 8
2 4 3
2 5 15
2 6 15
3 0 0
3 1 0
3 2 8
3 3 2
3 4 2
3 5 15
3 6 15
4 0 9
4 1 8
4 2 8
4 3 1
4 4 11
4 5 15
4 6 15
5 0 9
5 1 5
5 2 0
5 3 9
5 4 7
5 5 15
5 6 15
6 0 0
6 1 8
6 2 10
6 3 3
6 4 5
6 5 15
6 6 15
7 0 0
7 1 5
7 2 10
7 3 10
7 4 1
7 5 15
7 6 15
8 0 4
8 1 11
8 2 6
8 3 9
8 4 4
8 5 15
8 6 15
9 0 6
9 1 10
9 2 3
9 3 11
9 4 2
9 5 15
9 6 15
10 0 4
10 1 3
10 2 0
10 3 3
10 4 10
10 5 15
10 6 15
11 0 10
11 1 5
11 2 4
11 3 2
11 4 2
11 5 15
11 6 15
12 0 15
12 1 15
12 2 15
12 3 15
12 4 15
12 5 12
12 6 14
13 0 15
13 1 15
13 2 15
13 3 15
13 4 15
13 5 14
13 6 13
14 0 15
14 1 15
14 2 15
14 3 15
14 4 15
14 5 13
14 6 12
15 0 15
15 1 15
15 2 15
15 3 15
15 4 15
15 5 15
15 6 15
